GEOID,NAMELSAD,population,tract_area_sq_mi,light_duty_vehicles_population_weighted,ev_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_population_weighted,is_benchmark_20to100,is_above_standard_gt100,is_below_standard_lt20,application_group,predicted_target_evse_count,current_total_evse,planning_gap_evse_non_benchmark_only,planning_gap_bin,gap_map_class,benchmark_map_class
06037113213,Census Tract 1132.13,5002,0.5,3744.99,353.12,1.07,False,False,True,below_standard_gap_application,108.0,4.0,104.0,101-250,Gap 101-250 EVSE,"1-5 EVSE / 1,000 vehicles"
06037296600,Census Tract 2966,5319,0.33,3121.98,122.39,1.92,False,False,True,below_standard_gap_application,86.0,6.0,80.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06037575300,Census Tract 5753,4209,0.25,2115.4,46.8,0.0,False,False,True,below_standard_gap_application,61.0,0.0,61.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06019004410,Census Tract 44.10,2293,0.28,1657.07,68.29,0.0,False,False,True,below_standard_gap_application,52.0,0.0,52.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06019003401,Census Tract 34.01,4483,0.36,2465.35,19.5,1.62,False,False,True,below_standard_gap_application,68.0,4.0,64.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06019003402,Census Tract 34.02,2205,0.38,1212.6,9.59,0.0,False,False,True,below_standard_gap_application,45.0,0.0,45.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
06019005527,Census Tract 55.27,3231,0.78,2096.83,101.26,6.68,False,False,True,below_standard_gap_application,61.0,14.0,47.0,26-50,Gap 26-50 EVSE,"5-10 EVSE / 1,000 vehicles"
06019007903,Census Tract 79.03,7301,704.62,3501.72,50.61,25.13,True,False,False,benchmark_training_standard,98.0,88.0,,,Benchmark standard 20-100,"20-50 EVSE / 1,000 vehicles"
06019004411,Census Tract 44.11,1831,1.84,1322.29,58.12,6.81,False,False,True,below_standard_gap_application,47.0,9.0,38.0,26-50,Gap 26-50 EVSE,"5-10 EVSE / 1,000 vehicles"
06037554001,Census Tract 5540.01,4519,0.42,3064.89,99.13,0.0,False,False,True,below_standard_gap_application,84.0,0.0,84.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037920013,Census Tract 9200.13,7253,3.15,6550.53,700.62,1.37,False,False,True,below_standard_gap_application,280.0,9.0,271.0,251-500,Gap 251-500 EVSE,"1-5 EVSE / 1,000 vehicles"
06037920312,Census Tract 9203.12,5684,5.26,3863.36,212.44,0.0,False,False,True,below_standard_gap_application,110.0,0.0,110.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06037535501,Census Tract 5355.01,2964,0.19,1947.9,37.79,0.0,False,False,True,below_standard_gap_application,57.0,0.0,57.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037237300,Census Tract 2373,5621,0.39,3431.69,119.94,0.87,False,False,True,below_standard_gap_application,95.0,3.0,92.0,51-100,Gap 51-100 EVSE,"0-1 EVSE / 1,000 vehicles"
06037408402,Census Tract 4084.02,6152,4.47,4896.64,357.37,13.68,False,False,True,below_standard_gap_application,157.0,67.0,90.0,51-100,Gap 51-100 EVSE,"10-20 EVSE / 1,000 vehicles"
06037227010,Census Tract 2270.10,3932,0.22,2172.21,41.94,0.0,False,False,True,below_standard_gap_application,62.0,0.0,62.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037219300,Census Tract 2193,3912,0.25,2245.22,88.34,0.0,False,False,True,below_standard_gap_application,64.0,0.0,64.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037204420,Census Tract 2044.20,2884,0.12,1496.62,26.85,0.0,False,False,True,below_standard_gap_application,49.0,0.0,49.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
06037404701,Census Tract 4047.01,5362,0.66,4161.55,140.34,3.84,False,False,True,below_standard_gap_application,120.0,16.0,104.0,101-250,Gap 101-250 EVSE,"1-5 EVSE / 1,000 vehicles"
06037211320,Census Tract 2113.20,3058,0.07,1595.61,115.33,0.0,False,False,True,below_standard_gap_application,52.0,0.0,52.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037262301,Census Tract 2623.01,2988,5.04,2005.12,406.93,2.99,False,False,True,below_standard_gap_application,61.0,6.0,55.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06037218120,Census Tract 2181.20,3790,0.17,2314.36,160.05,0.0,False,False,True,below_standard_gap_application,66.0,0.0,66.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037209403,Census Tract 2094.03,4136,0.05,1700.53,102.19,0.0,False,False,True,below_standard_gap_application,54.0,0.0,54.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037208902,Census Tract 2089.02,2373,0.07,975.77,59.17,0.0,False,False,True,below_standard_gap_application,42.0,0.0,42.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
06037212203,Census Tract 2122.03,2830,0.04,1449.96,117.33,4.14,False,False,True,below_standard_gap_application,49.0,6.0,43.0,26-50,Gap 26-50 EVSE,"1-5 EVSE / 1,000 vehicles"
06037433901,Census Tract 4339.01,5076,0.28,3642.21,156.57,1.1,False,False,True,below_standard_gap_application,102.0,4.0,98.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06071000504,Census Tract 5.04,4929,4.19,3922.04,232.05,0.0,False,False,True,below_standard_gap_application,112.0,0.0,112.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06071000117,Census Tract 1.17,6368,2.08,5493.25,662.22,0.0,False,False,True,below_standard_gap_application,197.0,0.0,197.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06071001906,Census Tract 19.06,13555,3.01,11385.67,660.88,0.0,False,False,True,below_standard_gap_application,1350.0,0.0,1350.0,>1000,Gap >1000 EVSE,"0 EVSE / 1,000 vehicles"
06071009202,Census Tract 92.02,1617,164.73,1072.69,46.55,0.0,False,False,True,below_standard_gap_application,43.0,0.0,43.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
06071002017,Census Tract 20.17,5688,2.35,4676.71,388.68,0.0,False,False,True,below_standard_gap_application,146.0,0.0,146.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06071001501,Census Tract 15.01,3552,0.29,2569.04,80.27,0.0,False,False,True,below_standard_gap_application,71.0,0.0,71.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06071003505,Census Tract 35.05,7270,0.5,5382.84,96.3,0.0,False,False,True,below_standard_gap_application,179.0,0.0,179.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06071003801,Census Tract 38.01,5307,0.73,3929.4,70.3,0.0,False,False,True,below_standard_gap_application,111.0,0.0,111.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06071004510,Census Tract 45.10,5271,2.35,3347.14,108.76,0.9,False,False,True,below_standard_gap_application,92.0,3.0,89.0,51-100,Gap 51-100 EVSE,"0-1 EVSE / 1,000 vehicles"
06071011002,Census Tract 110.02,1479,30.32,1222.04,33.31,42.55,True,False,False,benchmark_training_standard,45.0,52.0,,,Benchmark standard 20-100,"20-50 EVSE / 1,000 vehicles"
06037194200,Census Tract 1942,3389,1.01,2199.15,317.77,1.82,False,False,True,below_standard_gap_application,65.0,4.0,61.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06037404901,Census Tract 4049.01,4898,0.44,3801.43,128.2,0.0,False,False,True,below_standard_gap_application,107.0,0.0,107.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06037183620,Census Tract 1836.20,2967,0.2,1835.42,120.75,0.0,False,False,True,below_standard_gap_application,56.0,0.0,56.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037139303,Census Tract 1393.03,4715,0.16,3418.25,496.84,0.0,False,False,True,below_standard_gap_application,99.0,0.0,99.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037123410,Census Tract 1234.10,3254,0.19,2461.87,125.65,0.41,False,False,True,below_standard_gap_application,69.0,1.0,68.0,51-100,Gap 51-100 EVSE,"0-1 EVSE / 1,000 vehicles"
06037120010,Census Tract 1200.10,2569,0.22,1696.35,57.83,0.0,False,False,True,below_standard_gap_application,53.0,0.0,53.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037117510,Census Tract 1175.10,3788,0.13,2635.64,146.61,0.38,False,False,True,below_standard_gap_application,73.0,1.0,72.0,51-100,Gap 51-100 EVSE,"0-1 EVSE / 1,000 vehicles"
06037576501,Census Tract 5765.01,2926,0.11,1629.0,109.31,0.0,False,False,True,below_standard_gap_application,52.0,0.0,52.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06037294810,Census Tract 2948.10,3991,0.12,2637.65,41.43,0.0,False,False,True,below_standard_gap_application,72.0,0.0,72.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06071011102,Census Tract 111.02,2023,79.67,904.93,23.65,0.0,False,False,True,below_standard_gap_application,41.0,0.0,41.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
06071007904,Census Tract 79.04,7087,6.72,5264.08,188.36,0.0,False,False,True,below_standard_gap_application,174.0,0.0,174.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06071008602,Census Tract 86.02,4750,14.73,4239.37,117.39,0.0,False,False,True,below_standard_gap_application,122.0,0.0,122.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06071011206,Census Tract 112.06,895,1.38,926.54,18.72,0.0,False,False,True,below_standard_gap_application,41.0,0.0,41.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
06071010424,Census Tract 104.24,1579,648.36,543.06,11.36,0.0,False,False,True,below_standard_gap_application,36.0,0.0,36.0,26-50,Gap 26-50 EVSE,"0 EVSE / 1,000 vehicles"
