zip_code,ev_vehicles,zev_vehicles,light_duty_vehicles,ev_share_light_duty,zcta_area_sq_mi,zcta_population
95482,626,626,26925,0.023249767873723307,297.4105046588376,33164.0
94627,0,0,0,,,
98498,1,1,34,0.029411764705882353,11.27660911747414,29209.0
94602,2030,2039,18711,0.10849233071455294,3.637490393047543,31759.0
92560,0,0,1,0.0,,
98243,0,0,2,0.0,11.831665398970605,327.0
93927,137,137,14466,0.00947048251071478,211.46780486022192,21574.0
92548,154,154,6251,0.02463605823068309,13.069181471062585,8312.0
97058,0,0,7,0.0,333.192825943215,20360.0
90304,386,393,17077,0.02260350178602799,1.6395655115712735,25430.0
95236,81,81,4666,0.017359622803257608,128.31607247018957,4490.0
94858,0,0,0,,,
95075,20,20,590,0.03389830508474576,92.01649542911454,693.0
99503,0,0,62,0.0,20.684405977527597,12964.0
93268,80,82,10583,0.007559293206085231,68.26783409918099,16963.0
92347,4,4,484,0.008264462809917356,171.64178101266026,766.0
95392,0,0,1,0.0,,
93454,473,474,31194,0.01516317240494967,422.03992419266797,41896.0
92270,1825,1830,16349,0.11162762248455563,25.99101158448879,17563.0
96367,0,0,16,0.0,,
96819,5,5,42,0.11904761904761904,25.62536891361787,50345.0
93451,83,83,4166,0.019923187710033607,447.3972016798122,5207.0
90692,0,0,0,,,
92337,877,880,28204,0.03109488015884272,13.700170885355321,36026.0
96012,1,1,2,0.5,,
91951,3,3,768,0.00390625,,
95866,6,6,269,0.022304832713754646,,
98674,2,2,8,0.25,93.57028502704644,17525.0
92825,0,0,8,0.0,,
97493,1,1,3,0.3333333333333333,55.50606581067433,491.0
90076,0,0,38,0.0,,
91326,5289,5317,31112,0.16999871432244792,8.107978099725264,38428.0
98815,0,0,1,0.0,97.3491964552997,7830.0
95328,70,70,3308,0.021160822249093107,0.9038560018694449,4133.0
96046,3,3,220,0.013636363636363636,141.18347993529306,489.0
97465,0,0,3,0.0,114.75451861718484,1811.0
91971,0,0,3,0.0,,
95101,0,0,9,0.0,,
95983,7,7,512,0.013671875,85.3288962975593,302.0
96141,16,16,764,0.020942408376963352,29.17406460247459,609.0
95220,159,159,6213,0.02559150169000483,58.732784301744154,7931.0
92322,10,10,476,0.02100840336134454,3.288669896301297,770.0
90661,0,0,52,0.0,,
94342,0,0,0,,,
96640,0,0,1,0.0,,
90265,1928,1937,11808,0.1632791327913279,118.30654237427484,15918.0
95028,0,0,2,0.0,,
94070,4047,4055,25946,0.1559778000462499,6.121982935028126,30447.0
90849,0,0,0,,,
93039,0,0,0,,,
95835,2625,2639,29891,0.0878190759760463,8.959538236556336,42004.0
92327,1,1,266,0.0037593984962406013,24.75038757865191,576.0
95266,0,0,1,0.0,,
91767,1159,1181,34411,0.033681090349016306,5.6894849709532,49152.0
91102,7,7,178,0.03932584269662921,,
92623,39,39,556,0.07014388489208633,,
92135,1,1,132,0.007575757575757576,0.4206633063226662,849.0
91721,0,0,1,0.0,,
91602,1614,1626,13525,0.11933456561922366,2.0635160006847446,20957.0
95808,0,0,2,0.0,,
98438,0,0,6,0.0,0.9618984653582726,613.0
97070,3,3,37,0.08108108108108109,18.3744070732319,26902.0
91323,0,0,4,0.0,,
98258,4,4,51,0.0784313725490196,38.90581582435465,52752.0
91276,0,0,1,0.0,,
97054,1,1,2,0.5,41.99036100943395,1494.0
90648,0,0,2,0.0,,
99141,0,0,1,0.0,655.3364532541395,5626.0
96011,1,1,90,0.011111111111111112,116.44310263423975,75.0
95440,0,0,5,0.0,,
95478,0,0,2,0.0,,
92069,2230,2233,38228,0.0583342052945485,18.471508856284473,47335.0
93779,0,0,56,0.0,,
96719,0,0,5,0.0,5.839086125422661,1974.0
93250,89,89,9922,0.008969965732715178,89.59000796499603,15599.0
91319,7,7,230,0.030434782608695653,,
91539,0,0,1,0.0,,
93664,11,11,550,0.02,191.5495950819357,345.0
90745,1659,1688,42424,0.03910522345841976,8.319237238621428,57397.0
97531,0,0,1,0.0,3.736662458100649,187.0
92846,2,2,127,0.015748031496062992,,
93922,43,43,1050,0.040952380952380955,,
96248,0,0,1,0.0,,
92605,3,4,209,0.014354066985645933,,
