GEOID,NAMELSAD,COUNTYFP,TRACTCE,tract_area_sq_mi,station_count,total_evse,stations_per_sq_mi,evse_per_sq_mi,population,ev_vehicles_area_weighted,zev_vehicles_area_weighted,light_duty_vehicles_area_weighted,ev_vehicles_population_weighted,zev_vehicles_population_weighted,light_duty_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_area_weighted,ev_share_light_duty_area_weighted,evse_per_1000_light_duty_vehicles_population_weighted,ev_share_light_duty_population_weighted,is_benchmark_20to100,is_above_standard_gt100,is_below_standard_lt20,predicted_target_evse_count,current_total_evse,model_gap_evse_all_tracts,application_group,planning_gap_evse_non_benchmark_only,planning_gap_bin
06071001907,Census Tract 19.07,71,1907,7.02463451676089,1.0,20.0,0.1423561606819521,2.8471232136390414,16455,1627.5761034492075,1638.6929946052296,10979.323740405309,1693.7405077422625,1705.3301767314738,11184.156203738592,1.8216058177060084,0.1482401049401176,1.7882439797572287,0.1514410633120526,False,False,True,1466.0,20.0,1446.0,below_standard_gap_application,1446.0,>1000
06059052439,Census Tract 524.39,59,52439,5.799119630435931,32.0,220.0,5.518078956683723,37.9367928272006,13687,3388.061075159497,3413.2844597872045,14509.331617344886,2609.09324758633,2628.5173845937557,11173.411077904862,15.162655717166563,0.2335091074153483,19.68960046901384,0.2335091074153484,False,False,True,1605.0,220.0,1385.0,below_standard_gap_application,1385.0,>1000
06071001906,Census Tract 19.06,71,1906,3.012675694581717,0.0,0.0,0.0,0.0,13555,346.93124840368256,348.9656358968152,5995.705495575827,660.8758022049306,664.7468217985818,11385.674956238592,0.0,0.0578632904267362,0.0,0.0580444993155908,False,False,True,1350.0,0.0,1350.0,below_standard_gap_application,1350.0,>1000
06077005119,Census Tract 51.19,77,5119,14.579299933015188,2.0,8.0,0.1371807980622547,0.5487231922490188,12380,1284.0769777449823,1287.5099949722876,14955.905104342812,868.814678319772,871.1097315947471,10643.805823796129,0.5349057742869073,0.0858575237530839,0.7516108554061153,0.081626317945164,False,False,True,1086.0,8.0,1078.0,below_standard_gap_application,1078.0,>1000
06059086303,Census Tract 863.03,59,86303,2.5496188470868537,18.0,78.0,7.059878781711415,30.5928080540828,13930,809.9457374670518,824.1770586746179,16780.70719013224,499.19214202176886,508.4239117235337,10556.94057311658,4.648195044239094,0.0482664841409862,7.3885042223907424,0.0472856826809246,False,False,True,1020.0,78.0,942.0,below_standard_gap_application,942.0,501-1000
06037276400,Census Tract 2764,37,276400,0.4926490942047399,0.0,0.0,0.0,0.0,4233,756.966537864937,758.3401766343508,4321.6049324525975,1734.5148904423445,1737.6624495225085,9902.535622103784,0.0,0.1751586620471907,0.0,0.1751586620471907,False,False,True,903.0,0.0,903.0,below_standard_gap_application,903.0,501-1000
06001450751,Census Tract 4507.51,1,450751,3.8654116767685767,7.0,24.0,1.8109325953741335,6.208911755568458,12378,1519.455482765157,1526.49619188648,8281.808334367137,1511.2455651323853,1518.1495810302076,9852.811039422257,2.897917825555907,0.1834690470268252,2.435853068121694,0.153382172771376,False,False,True,914.0,24.0,890.0,below_standard_gap_application,890.0,501-1000
06065040609,Census Tract 406.09,65,40609,9.416678640067358,0.0,0.0,0.0,0.0,17975,1746.499642279814,1758.1241860868397,15270.071196689409,1100.2750658570387,1107.5983972756108,9619.972535263209,0.0,0.1143740340030935,0.0,0.1143740340030955,False,False,True,838.0,0.0,838.0,below_standard_gap_application,838.0,501-1000
06065043823,Census Tract 438.23,65,43823,14.727662309026655,0.0,0.0,0.0,0.0,14738,583.6014340926988,584.2625576992036,11039.720155874602,527.7548928554058,528.3507059545939,9860.43471622352,0.0,0.052863788742158,0.0,0.0535224772582371,False,False,True,825.0,0.0,825.0,below_standard_gap_application,825.0,501-1000
06081602400,Census Tract 6024,81,602400,1.0509432683926268,1.0,6.0,0.9515261480569334,5.7091568883416,7339,722.7697471430013,725.6152973286015,7965.88826474769,897.6439048209381,901.1779359422784,9893.235121695492,0.7532116696329336,0.0907331013342922,0.6064750232047176,0.0907331013343086,False,False,True,830.0,6.0,824.0,below_standard_gap_application,824.0,501-1000
