GEOID,NAMELSAD,COUNTYFP,county_name,current_total_evse,predicted_target_evse_count,baseline_target_evse_count,planning_gap_evse_non_benchmark_only,baseline_gap_evse,target_difference_final_minus_baseline,gap_difference_final_minus_baseline
06071010037,Census Tract 100.37,71,San Bernardino,0.0,115.0,12.0,115.0,12.0,103.0,103.0
06071011408,Census Tract 114.08,71,San Bernardino,0.0,48.0,14.0,48.0,14.0,34.0,34.0
06071010030,Census Tract 100.30,71,San Bernardino,0.0,63.0,14.0,63.0,14.0,49.0,49.0
06071002039,Census Tract 20.39,71,San Bernardino,24.0,201.0,15.0,177.0,0.0,186.0,177.0
06071002042,Census Tract 20.42,71,San Bernardino,0.0,65.0,14.0,65.0,14.0,51.0,51.0
06071000307,Census Tract 3.07,71,San Bernardino,0.0,59.0,29.0,59.0,29.0,30.0,30.0
06071010040,Census Tract 100.40,71,San Bernardino,0.0,41.0,26.0,41.0,26.0,15.0,15.0
06071009724,Census Tract 97.24,71,San Bernardino,0.0,82.0,14.0,82.0,14.0,68.0,68.0
06071009914,Census Tract 99.14,71,San Bernardino,14.0,60.0,20.0,46.0,6.0,40.0,40.0
06071009720,Census Tract 97.20,71,San Bernardino,0.0,50.0,31.0,50.0,31.0,19.0,19.0
06071007905,Census Tract 79.05,71,San Bernardino,8.0,79.0,19.0,71.0,11.0,60.0,60.0
06071009133,Census Tract 91.33,71,San Bernardino,0.0,129.0,3.0,129.0,3.0,126.0,126.0
06071009130,Census Tract 91.30,71,San Bernardino,0.0,65.0,26.0,65.0,26.0,39.0,39.0
06071009129,Census Tract 91.29,71,San Bernardino,0.0,142.0,9.0,142.0,9.0,133.0,133.0
06071007412,Census Tract 74.12,71,San Bernardino,0.0,112.0,21.0,112.0,21.0,91.0,91.0
06071007411,Census Tract 74.11,71,San Bernardino,0.0,42.0,27.0,42.0,27.0,15.0,15.0
06071009123,Census Tract 91.23,71,San Bernardino,0.0,47.0,7.0,47.0,7.0,40.0,40.0
06071009122,Census Tract 91.22,71,San Bernardino,0.0,67.0,5.0,67.0,5.0,62.0,62.0
06065040403,Census Tract 404.03,65,Riverside,1.0,124.0,15.0,123.0,14.0,109.0,109.0
06065040501,Census Tract 405.01,65,Riverside,8.0,220.0,15.0,212.0,7.0,205.0,205.0
06065040503,Census Tract 405.03,65,Riverside,0.0,80.0,17.0,80.0,17.0,63.0,63.0
06065040603,Census Tract 406.03,65,Riverside,0.0,62.0,18.0,62.0,18.0,44.0,44.0
